weekday,gg_year,gg_month,gg_day,ncc_year,ncc_month,ncc_day,celestial_event,ncc_fixed_event,ncc_variable_event,ncc_season
Wednesday,2020,1,1,1736,5,6,Undefined,The Feast of the Circumcision,Undefined,The Seeds and the Herbs
Thursday,2020,1,2,1736,5,7,Undefined,Undefined,Undefined,The Seeds and the Herbs
Friday,2020,1,3,1736,5,8,Undefined,Undefined,Paramoun of Theophany,The Seeds and the Herbs
Saturday,2020,1,4,1736,5,9,Undefined,Undefined,Paramoun of Theophany,The Seeds and the Herbs
Sunday,2020,1,5,1736,5,10,Undefined,Undefined,Paramoun of Theophany,The Seeds and the Herbs
Monday,2020,1,6,1736,5,11,Undefined,The Feast of the Theophany,Undefined,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,1,7,1736,5,12,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,1,8,1736,5,13,Undefined,The Feast of the First Miracle at Cana of Galilee,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,1,9,1736,5,14,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,1,10,1736,5,15,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,1,11,1736,5,16,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,1,12,1736,5,17,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Monday,2020,1,13,1736,5,18,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,1,14,1736,5,19,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,1,15,1736,5,20,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,1,16,1736,5,21,Undefined,Dormition of the Theotokos,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,1,17,1736,5,22,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,1,18,1736,5,23,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,1,19,1736,5,24,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Monday,2020,1,20,1736,5,25,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,1,21,1736,5,26,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,1,22,1736,5,27,Undefined,The Feast of Archangel Suriel,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,1,23,1736,5,28,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,1,24,1736,5,29,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,1,25,1736,5,30,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,1,26,1736,6,1,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Monday,2020,1,27,1736,6,2,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,1,28,1736,6,3,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,1,29,1736,6,4,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,1,30,1736,6,5,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,1,31,1736,6,6,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,2,1,1736,6,7,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,2,2,1736,6,8,Undefined,The Feast of the Presentation of the Lord in the Temple,Undefined,The Air of the Heavens and the Fruits of the Earth
Monday,2020,2,3,1736,6,9,Undefined,Undefined,Fast of Ninevah,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,2,4,1736,6,10,Undefined,Undefined,Fast of Ninevah,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,2,5,1736,6,11,Undefined,Undefined,Fast of Ninevah,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,2,6,1736,6,12,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,2,7,1736,6,13,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,2,8,1736,6,14,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,2,9,1736,6,15,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Monday,2020,2,10,1736,6,16,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,2,11,1736,6,17,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,2,12,1736,6,18,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,2,13,1736,6,19,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,2,14,1736,6,20,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,2,15,1736,6,21,Undefined,Monthly Commemoration of the Theotokos,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,2,16,1736,6,22,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Monday,2020,2,17,1736,6,23,Undefined,Undefined,First Day of Lent,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,2,18,1736,6,24,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,2,19,1736,6,25,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,2,20,1736,6,26,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,2,21,1736,6,27,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,2,22,1736,6,28,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,2,23,1736,6,29,Undefined,Undefined,First Sunday of Lent,The Air of the Heavens and the Fruits of the Earth
Monday,2020,2,24,1736,6,30,Undefined,The Appearance of the Head of St. John the Baptist,Undefined,The Air of the Heavens and the Fruits of the Earth
Tuesday,2020,2,25,1736,7,1,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Wednesday,2020,2,26,1736,7,2,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Thursday,2020,2,27,1736,7,3,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Friday,2020,2,28,1736,7,4,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Saturday,2020,2,29,1736,7,5,Undefined,Undefined,Undefined,The Air of the Heavens and the Fruits of the Earth
Sunday,2020,3,1,1736,7,6,Undefined,Undefined,Second Sunday of Lent,The Air of the Heavens and the Fruits of the Earth
