Order,Year,Orthodox Easter,Catholic Easter,Vernal Equinox in Jerusalem,Paschal Full Moon in Jerusalem,Unified Easter,Catholic vs. Unified Easter
1,2020,19 April,12 April,20 March,8 April,12 April,Same
2,2021,2 May,4 April,20 March,28 March,4 April,Same
3,2022,24 April,17 April,20 March,16 April,17 April,Same
4,2023,16 April,9 April,20 March,6 April,9 April,Same
5,2024,5 May,31 March,20 March,25 March,31 March,Same
6,2025,20 April,20 April,20 March,13 April,20 April,Same
7,2026,12 April,5 April,20 March,2 April,5 April,Same
8,2027,2 May,28 March,20 March,22 March,28 March,Same
9,2028,16 April,16 April,20 March,9 April,16 April,Same
10,2029,8 April,1 April,20 March,30 March,1 April,Same
11,2030,28 April,21 April,20 March,18 April,21 April,Same
12,2031,13 April,13 April,20 March,7 April,13 April,Same
13,2032,2 May,28 March,20 March,27 March,28 March,Same
14,2033,24 April,17 April,20 March,14 April,17 April,Same
15,2034,9 April,9 April,20 March,3 April,9 April,Same
16,2035,29 April,25 March,20 March,24 March,25 March,Same
17,2036,20 April,13 April,20 March,10 April,13 April,Same
18,2037,5 April,5 April,20 March,31 March,5 April,Same
19,2038,25 April,25 April,20 March,21 March,28 March,Different
20,2039,17 April,10 April,20 March,9 April,10 April,Same
21,2040,6 May,1 April,20 March,28 March,1 April,Same
22,2041,21 April,21 April,20 March,16 April,21 April,Same
23,2042,13 April,6 April,20 March,5 April,6 April,Same
24,2043,3 May,29 March,20 March,25 March,29 March,Same
25,2044,24 April,17 April,20 March,12 April,17 April,Same
26,2045,9 April,9 April,20 March,1 April,2 April,Different
27,2046,29 April,25 March,20 March,22 March,25 March,Same
28,2047,21 April,14 April,20 March,10 April,14 April,Same
29,2048,5 April,5 April,20 March,30 March,5 April,Same
30,2049,25 April,18 April,20 March,18 April,25 April,Different
31,2050,17 April,10 April,20 March,7 April,10 April,Same
32,2051,7 May,2 April,20 March,27 March,2 April,Same
33,2052,21 April,21 April,19 March,14 April,21 April,Same
34,2053,13 April,6 April,20 March,3 April,6 April,Same
35,2054,3 May,29 March,20 March,23 March,29 March,Same
36,2055,18 April,18 April,20 March,11 April,18 April,Same
37,2056,9 April,2 April,19 March,31 March,2 April,Same
38,2057,29 April,22 April,20 March,21 March,25 March,Different
39,2058,14 April,14 April,20 March,9 April,14 April,Same
40,2059,4 May,30 March,20 March,29 March,30 March,Same
41,2060,25 April,18 April,19 March,15 April,18 April,Same
42,2061,10 April,10 April,20 March,4 April,10 April,Same
43,2062,30 April,26 March,20 March,25 March,26 March,Same
44,2063,22 April,15 April,20 March,13 April,15 April,Same
45,2064,13 April,6 April,19 March,1 April,6 April,Same
46,2065,26 April,29 March,20 March,22 March,29 March,Same
47,2066,18 April,11 April,20 March,10 April,11 April,Same
48,2067,10 April,3 April,20 March,30 March,3 April,Same
49,2068,29 April,22 April,19 March,17 April,22 April,Same
50,2069,14 April,14 April,20 March,6 April,7 April,Different
51,2070,4 May,30 March,20 March,26 March,30 March,Same
